Name,Formatted address,Latitude,Longitude,Country,Division,District
Boalkhali,"Boalkhali, Bangladesh",22.3791057,91.9172519,Bangladesh,Chittagong Division,Chittagong District
Chandanish,"Chandanaish, Bangladesh",22.2438942,92.0126276,Bangladesh,Chittagong Division,Chittagong District
Fatikchari,"Fatikchhari Upazila, Bangladesh",22.7587557,91.7388135,Bangladesh,Chittagong Division,Chittagong District
Hathazari,"Hathazari, Bangladesh",22.5084634,91.8074586,Bangladesh,Chittagong Division,Chittagong District
Karnaphuli,"Karnaphuli River, Bangladesh",22.58188252,92.10685573,Bangladesh,Chittagong Division,
Lohagara,"Lohagara, Bangladesh",22.0401954,92.1008486,Bangladesh,Chittagong Division,Chittagong District
Mirsharai,"Mirsharai, Bangladesh",22.773039,91.5741517,Bangladesh,Chittagong Division,Chittagong District
Patiya,"Patiya, Bangladesh",22.2949889,91.9759204,Bangladesh,Chittagong Division,Chittagong District
Rangunia,"Rangunia, Bangladesh",22.4698078,92.0518154,Bangladesh,Chittagong Division,Chittagong District
Raojan,"Raozan Upazila, Bangladesh",22.5348906,91.9104006,Bangladesh,Chittagong Division,Chittagong District
Sandwip,"Sandwip, Bangladesh",22.4937132,91.5015009,Bangladesh,Chittagong Division,
Satkania,"Satkania Upazila, Bangladesh",22.1000226,92.0812156,Bangladesh,Chittagong Division,Chittagong District
Sitakunda,"Sitakund, Bangladesh",22.6170686,91.6809283,Bangladesh,Chittagong Division,Chittagong District
Chakoria,"Chakaria Upazila, Bangladesh",21.7250394,92.0469151,Bangladesh,Chittagong Division,Cox's Bazar District
Cox'S Bazar-S,"Cox's Bazar, Bangladesh",21.4272283,92.0058074,Bangladesh,Chittagong Division,Cox's Bazar District
Kutubdia,"Kutubdia Upazila, Kutubdia, Bangladesh",21.816667,91.858333,Bangladesh,Chittagong Division,Cox's Bazar District
Moheskhali,"Moheskhali Upazila, Bangladesh",21.5373654,91.9417617,Bangladesh,Chittagong Division,Cox's Bazar District
Pekua,"Pekua, Bangladesh",21.8327393,91.9573985,Bangladesh,Chittagong Division,Cox's Bazar District
Ramu,"Ramu Upazila, Bangladesh",21.4380193,92.1253854,Bangladesh,Chittagong Division,Cox's Bazar District
Teknaf,"Teknaf, Bangladesh",20.8578385,92.2975183,Bangladesh,Chittagong Division,Cox's Bazar District
Ukhiya,"Ukhiya Upazila, Bangladesh",21.2446617,92.1389158,Bangladesh,Chittagong Division,Cox's Bazar District
Barura,"Barura, Bangladesh",23.3773279,91.0550222,Bangladesh,Chittagong Division,Comilla District
Brahmanpara,"Brahmanpara, Bangladesh",23.6225266,91.1017334,Bangladesh,Chittagong Division,Comilla District
Burichong,"Burichang Upazila, Bangladesh",23.5534788,91.1266892,Bangladesh,Chittagong Division,Comilla District
Chandina,"Chandina, Bangladesh",23.4892481,91.0083637,Bangladesh,Chittagong Division,Comilla District
Chouddagram,"Chauddagram, Bangladesh",23.228035,91.3131861,Bangladesh,Chittagong Division,Comilla District
Cumilla-S,"Cumilla, Bangladesh",23.4606574,91.1809065,Bangladesh,Chittagong Division,Comilla District
Cumilla-S Daksin,"Cumilla, Bangladesh",23.4606574,91.1809065,Bangladesh,Chittagong Division,Comilla District
Daudkandi,"Daudkandi, Bangladesh",23.5337738,90.7247008,Bangladesh,Chittagong Division,Comilla District
Debidwar,"Debidwar, Bangladesh",23.6114537,90.9772874,Bangladesh,Chittagong Division,Comilla District
Homna,"Homna, Bangladesh",23.6824728,90.7832908,Bangladesh,Chittagong Division,Comilla District
Laksham,"Laksam Upazila, Bangladesh",23.2448524,91.1211746,Bangladesh,Chittagong Division,Comilla District
Lalmai,"Lalmai,Bangladesh",23.35896369,91.14666095,Bangladesh,Chittagong Division,Comilla District
Meghna,"Meghna,Bangladesh",23.62555363,90.70070033,Bangladesh,Chittagong Division,Comilla District
Monohorganj,"Manoharganj Upazila, Bangladesh",23.1122951,91.1158319,Bangladesh,Chittagong Division,Comilla District
Muradnagar,"Muradnagar,Bangladesh",23.71489019,90.9439975,Bangladesh,Chittagong Division,Comilla District
Nangalkot,"Nangalkot, Bangladesh",23.1694062,91.1977158,Bangladesh,Chittagong Division,Comilla District
Titas,"Titas,Bangladesh",23.60013341,90.8172896,Bangladesh,Chittagong Division,Comilla District
Chhagalniya,"Chhagalnaiya, Bangladesh",23.0386278,91.5184418,Bangladesh,Chittagong Division,Feni District
Daganbhuiyan,"Daganbhuiyan, Bangladesh",22.9123584,91.3180042,Bangladesh,Chittagong Division,Feni District
Feni,"Feni,Bangladesh",23.02124302,91.3963966,Bangladesh,Chittagong Division,Feni District
Fulgazi,"Fulgazi, Bangladesh",23.1554497,91.4325717,Bangladesh,Chittagong Division,Feni District
Porshuram,"Parshuram Upazila, Bangladesh",23.2134267,91.4446255,Bangladesh,Chittagong Division,Feni District
Sonagazi,"Sonagazi Municipality, Bangladesh",22.8491794,91.3927559,Bangladesh,Chittagong Division,Feni District
Dighinala,"Dighinala, Bangladesh",23.2408468,92.0640687,Bangladesh,Chittagong Division,Khagrachari District
Guimara,"Guimara, Bangladesh",22.9603925,91.8695046,Bangladesh,Chittagong Division,Khagrachari District
Khagrachari-S,"Khagrachari, Bangladesh",23.1117407,91.9888247,Bangladesh,Chittagong Division,Khagrachari District
Laxmichari,"Lakshmichhari, Bangladesh",22.7961681,91.9123664,Bangladesh,Chittagong Division,Khagrachari District
Mahalchari,"Mahalchhari, Bangladesh",22.9316977,92.029768,Bangladesh,Chittagong Division,Khagrachari District
Manikchari,"Manikchari, Bangladesh",22.8417234,91.83671,Bangladesh,Chittagong Division,Khagrachari District
Matiranga,"Matiranga, Bangladesh",23.0407988,91.8733017,Bangladesh,Chittagong Division,Khagrachari District
Panchari,"Panchari,Bangladesh",23.3028702,91.89895546,Bangladesh,Chittagong Division,Khagrachari District
Ramgarh,"Ramgarh,Bangladesh ",23.00913955,91.74034963,Bangladesh,Chittagong Division,Khagrachari District
Kamalnagar,"Kamalnagar,Bangladesh",22.5931811,90.99394972,Bangladesh,Chittagong Division,Lakshmipur District
Lakshmipur-Sadar,"Lakshmipur,Bangladesh",22.95374511,90.86731182,Bangladesh,Chittagong Division,Lakshmipur District
Raipur,"Raipur, Bangladesh",23.03671742,90.76076459,Bangladesh,Chittagong Division,Lakshmipur District
Ramganj,"Ramganj, Bangladesh",23.1001185,90.8627473,Bangladesh,Chittagong Division,Lakshmipur District
Ramgati,"Ramgati Upazila, Bangladesh",22.7451822,90.9318234,Bangladesh,Chittagong Division,Lakshmipur District
Begumganj,"Begumganj, Bangladesh",22.9319328,91.0921473,Bangladesh,Chittagong Division,Noakhali District
Chatkhil,"Chatkhil, Bangladesh",23.0518075,90.9772874,Bangladesh,Chittagong Division,Noakhali District
Companiganj,"Companiganj Upazila, Bangladesh",22.8736722,91.2779445,Bangladesh,Chittagong Division,Noakhali District
Hatiya,"Hatiya, Bangladesh",22.2880698,91.1400998,Bangladesh,Chittagong Division,Noakhali District
Kabir Hat,"Kabirhat, Bangladesh",22.7956429,91.1989169,Bangladesh,Chittagong Division,Noakhali District
Noakhali-S,"Noakhali, Bangladesh",22.8246384,91.1017334,Bangladesh,Chittagong Division,Noakhali District
Senbag,"Senbag, Bangladesh",22.9874868,91.2337661,Bangladesh,Chittagong Division,Noakhali District
Sonaimuri,"Sonaimuri, Bangladesh",23.0509273,91.1113216,Bangladesh,Chittagong Division,Noakhali District
Subarna Char,"Subarnachar Upazila, Bangladesh",22.6755632,91.1256666,Bangladesh,Chittagong Division,Noakhali District
Baghaichari,"Baghaichhari Upazila, Bangladesh",23.1649165,92.1913643,Bangladesh,Chittagong Division,Rangamati Hill District
Barkal,"Barkal Upazila,Bangladesh",22.7261595,92.37928328,Bangladesh,Chittagong Division,Rangamati Hill District
Belaichari,"Belaichari, Bangladesh",22.5117427,92.3436747,Bangladesh,Chittagong Division,Rangamati Hill District
Juraichari,"Juraichhari, Bangladesh",22.6708223,92.3788939,Bangladesh,Chittagong Division,Rangamati Hill District
Kaptai,"Kaptai, Bangladesh",22.4943822,92.2212071,Bangladesh,Chittagong Division,Rangamati Hill District
Langadu,"Langadu, Bangladesh",22.89933,92.153458,Bangladesh,Chittagong Division,Rangamati Hill District
Nanniarchar,"Naniarchar, Bangladesh",22.862167,92.1106617,Bangladesh,Chittagong Division,Rangamati Hill District
Rajosthali,"Rajasthali Upazila, Bangladesh",22.3762383,92.1522805,Bangladesh,Chittagong Division,Rangamati Hill District
Rangamati-S,"Rangamati, Bangladesh",22.6533198,92.1788581,Bangladesh,Chittagong Division,Rangamati Hill District
Kachua,"Kachua, Bangladesh",23.341144,90.8889678,Bangladesh,Chittagong Division,Chandpur District
Lohagara,"Lohagara, Bangladesh",22.0401954,92.1008486,Bangladesh,Chittagong Division,Chittagong District
Eidgaon,"Eidgaon, Bangladesh",21.5527001,92.0683581,Bangladesh,Chittagong Division,Cox's Bazar District
Dhamrai,"Dhamrai, Bangladesh",23.9148319,90.2174318,Bangladesh,Dhaka Division,Dhaka District
Dohar,"Dohar, Bangladesh",23.6181867,90.1196695,Bangladesh,Dhaka Division,Manikganj District
Keraniganj,"Keraniganj, Bangladesh",23.7012425,90.3975717,Bangladesh,Dhaka Division,Dhaka District
Nawabganj,"Nawabganj, Bangladesh",23.653123,90.1518394,Bangladesh,Dhaka Division,Dhaka District
Savar,"Savar Union, Bangladesh",23.8478798,90.2575646,Bangladesh,Dhaka Division,Dhaka District
Alfadanga,"Alfadanga, Bangladesh",23.2897824,89.702771,Bangladesh,Dhaka Division,Faridpur District
Bhanga,"Bhanga, Bangladesh",23.3853306,89.9836769,Bangladesh,Dhaka Division,Faridpur District
Boalmari,"Boalmari, Bangladesh",23.3909677,89.6839714,Bangladesh,Dhaka Division,Faridpur District
Charbhadrasan,"Charbhadrasan, Bangladesh",23.566898,89.995337,Bangladesh,Dhaka Division,Faridpur District
Faridpur-S,"Faridpur, Bangladesh",23.6018691,89.8333382,Bangladesh,Dhaka Division,Faridpur District
Madhukhali,"Madhukhali, Bangladesh",23.5441366,89.6286955,Bangladesh,Dhaka Division,Faridpur District
Nagarkanda,"Nagarkanda, Bangladesh",23.4210186,89.8949443,Bangladesh,Dhaka Division,Faridpur District
Sadarpur,"Sadarpur Upazila,Bangladesh",23.46642677,90.03646825,Bangladesh,Dhaka Division,Faridpur District
Saltha,"Saltha, Bangladesh",23.4328101,89.7825682,Bangladesh,Dhaka Division,Faridpur District
Gazipur-S,"Gazipur Sadar Upazila, Bangladesh",23.9999322,90.4202176,Bangladesh,Dhaka Division,Gazipur District
Kaliakoir,"Kaliakair, Bangladesh",24.0694528,90.2221213,Bangladesh,Dhaka Division,Gazipur District
Kaliganj,"Kaliganj, Bangladesh",23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Kapasia,"Kapasia, Bangladesh",24.1124202,90.5665658,Bangladesh,Dhaka Division,Gazipur District
Sreepur,"Sreepur, Bangladesh",24.1996574,90.4809098,Bangladesh,Dhaka Division,Gazipur District
Gopalganj-S,"Gopalganj Sadar Upazila, Bangladesh",23.013196,89.8225228,Bangladesh,Dhaka Division,Gopalganj District
Kasiani,"Kashiani Upazila, Bangladesh",23.2331635,89.7239244,Bangladesh,Dhaka Division,Gopalganj District
Kotwalipara,"Kotalipara, Bangladesh",22.9892822,90.0279867,Bangladesh,Dhaka Division,Gopalganj District
Muksudpur,"Muksudpur, Bangladesh",23.3197792,89.8668809,Bangladesh,Dhaka Division,Gopalganj District
Tungipara,"Tungipara, Bangladesh",22.9073374,89.8984508,Bangladesh,Dhaka Division,Gopalganj District
Kalkini,"Kalkini, Bangladesh",23.075497,90.2268113,Bangladesh,Dhaka Division,Madaripur District
Madaripur-S,"Madaripur Sadar Upazila, Bangladesh",23.1649342,90.1939114,Bangladesh,Dhaka Division,Madaripur District
Rajoir,"Rajoir, Bangladesh",23.2066833,90.0489902,Bangladesh,Dhaka Division,Madaripur District
Shibchar,"Shibchar, Bangladesh",23.3346105,90.1869644,Bangladesh,Dhaka Division,Madaripur District
Ghior,"Ghior, Bangladesh",23.8970866,89.8715596,Bangladesh,Dhaka Division,Manikganj District
Harirampur,"Harirampur, Bangladesh",23.75113576,89.9710116,Bangladesh,Dhaka Division,Manikganj District
Manikganj-S,"Manikganj, Bangladesh",23.8644225,90.004663,Bangladesh,Dhaka Division,Manikganj District
Saturia,"Saturia, Bangladesh",23.9729721,90.0361533,Bangladesh,Dhaka Division,Dhaka District
Shivalaya,"Shivalaya, Bangladesh",23.84711649,89.70552221,Bangladesh,Dhaka Division,Manikganj District
Singair,"Singair, Bangladesh",23.8136788,90.1460089,Bangladesh,Dhaka Division,Manikganj District
Gazaria,"Gazaria, Bangladesh",23.5798241,90.6408347,Bangladesh,Dhaka Division,Munshiganj District
Lauhajong,"Louhajang, Bangladesh",23.4743053,90.3207299,Bangladesh,Dhaka Division,Munshiganj District
Munshiganj-S,"Munshiganj Sadar Upazila, Bangladesh",23.5416259,90.5302758,Bangladesh,Dhaka Division,Munshiganj District
Sirajdikhan,"Sirajdikhan Upazila, Bangladesh",23.5961616,90.3936722,Bangladesh,Dhaka Division,Munshiganj District
Sreenagar,"Sreenagar Upazila, Bangladesh",23.542889,90.2949729,Bangladesh,Dhaka Division,Munshiganj District
Tongibari,"Tongibari, Bangladesh",23.5096549,90.4667501,Bangladesh,Dhaka Division,Munshiganj District
Araihazar,"Araihazar, Bangladesh",23.7916557,90.6535914,Bangladesh,Dhaka Division,Narayanganj District
Bandar,"Bandar Upazila, Bangladesh",23.63316159,90.53153919,Bangladesh,Dhaka Division,Narayanganj District
Narayanganj-S,"Narayanganj Sadar Upazila, Bangladesh",23.6237724,90.5001616,Bangladesh,Dhaka Division,Narayanganj District
Rupganj,"Rupganj, Bangladesh",23.8158899,90.5399631,Bangladesh,Dhaka Division,Narayanganj District
Sonargaon,"Sonargaon, Bangladesh",23.6460948,90.5991042,Bangladesh,Dhaka Division,Narayanganj District
Belabo,"Belabo, Bangladesh",24.1050631,90.8514464,Bangladesh,Dhaka Division,Narsingdi District
Monohardi,"Monohardi Upazila, Bangladesh",24.1409605,90.7031816,Bangladesh,Dhaka Division,Narsingdi District
Narshingdi-S,"Narsingdi, Bangladesh",23.9192671,90.7176492,Bangladesh,Dhaka Division,Narsingdi District
Palash,"Palash Upazila, Bangladesh",23.93720906,90.65429518,Bangladesh,Dhaka Division,Narsingdi District
Raipura,"Raipura Upazila, Bangladesh",23.9944276,90.8718692,Bangladesh,Dhaka Division,Narsingdi District
Shibpur,"Shibpur Upazila, Bangladesh",23.98061926,90.75262284,Bangladesh,Dhaka Division,Narsingdi District
Baliakandi,"Baliakandi, Bangladesh",23.6346865,89.5474046,Bangladesh,Dhaka Division,Rajbari District
Goalanda,"Goalanda Upazila, Bangladesh",23.7236607,89.7637303,Bangladesh,Dhaka Division,Rajbari District
Kalukhali,"Kalukhali Upazila, Bangladesh",23.76552523,89.46910333,Bangladesh,Dhaka Division,Rajbari District
Pangsha,"Pangsha, Bangladesh",23.7800218,89.412731,Bangladesh,Dhaka Division,Rajbari District
Rajbari-S,"Rajbari, Bangladesh",23.7638997,89.646737,Bangladesh,Dhaka Division,Rajbari District
Bhedarganj,"Bhedarganj, Bangladesh",23.1971305,90.44552,Bangladesh,Dhaka Division,Shariatpur District
Damuddya,"Damudya, Bangladesh",23.1390793,90.4396248,Bangladesh,Dhaka Division,Shariatpur District
Goshairhat,"Gosairhat, Bangladesh",23.0988395,90.4525954,Bangladesh,Dhaka Division,Shariatpur District
Zajira,"Zajira Upazila, Bangladesh",23.34158194,90.35862633,Bangladesh,Dhaka Division,Shariatpur District
Naria,"Naria, Bangladesh",23.3059073,90.4089838,Bangladesh,Dhaka Division,Shariatpur District
Shariatpur-S,"Shariatpur, Bangladesh",23.2197029,90.3501258,Bangladesh,Dhaka Division,Shariatpur District
Kaliganj,"Kaliganj, Bangladesh",23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Daulatpur,"Daulatpur, Bangladesh",23.96538284,89.77911568,Bangladesh,Dhaka Division,Manikganj District
Mohammadpur,"Mohammadpur, Dhaka, Bangladesh",23.7661639,90.3588734,Bangladesh,Dhaka Division,Dhaka District
Sreepur,"Sreepur, Bangladesh",24.1996574,90.4809098,Bangladesh,Dhaka Division,Gazipur District
Kaliganj,"Kaliganj, Bangladesh",23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Sherpur,"Sherpur, Bangladesh",25.0194045,90.0137328,Bangladesh,Dhaka Division,Sherpur District
Nawabganj-S,"Nawabganj, Bangladesh",23.653123,90.1518394,Bangladesh,Dhaka Division,Dhaka District
Faridpur,"Faridpur, Bangladesh",23.6018691,89.8333382,Bangladesh,Dhaka Division,Faridpur District
Nawabganj,"Nawabganj, Bangladesh",23.653123,90.1518394,Bangladesh,Dhaka Division,Dhaka District
Kaliganj,"Kaliganj, Bangladesh",23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Modhyanagar,"Madhyanagar, Bangladesh",23.9406869,90.8877756,Bangladesh,Dhaka Division,Narsingdi District
Dashar,"Madaripur, Bangladesh",23.07858467,90.14478711,Bangladesh,Dhaka Division,Madaripur District
Daulatpur,"Daulatpur, Bangladesh",24.01130512,88.8738099,Bangladesh,Khulna Division,Kushtia District
Bagerhat-S,"Bagerhat Sadar Upazila, Bangladesh",22.6551429,89.7661665,Bangladesh,Khulna Division,Bagerhat District
Chitalmari,"Chitalmari Upazila, Bangladesh",22.7904387,89.8778169,Bangladesh,Khulna Division,Bagerhat District
Fakirhat,"Fakirhat, Bangladesh",22.777513,89.7074695,Bangladesh,Khulna Division,Bagerhat District
Mollahat,"Mollahat, Bangladesh",22.9266143,89.8060068,Bangladesh,Khulna Division,Bagerhat District
Mongla,"Mongla Upazila, Bangladesh",22.54559685,89.47722635,Bangladesh,Khulna Division,Bagerhat District
Morrelganj,"Morrelganj, Bangladesh",22.4499409,89.8528416,Bangladesh,Khulna Division,Bagerhat District
Rampal,"Rampal, Bangladesh",22.583775,89.6722171,Bangladesh,Khulna Division,Bagerhat District
Sharankhola,"Sharankhola, Bangladesh",22.3128434,89.8481606,Bangladesh,Khulna Division,Bagerhat District
Alamdanga,"Alamdanga, Bangladesh",23.7626671,88.9437807,Bangladesh,Khulna Division,Chuadanga District
Chuadanga-S,"Chuadanga, Bangladesh",23.6417895,88.8577016,Bangladesh,Khulna Division,Chuadanga District
Damurhuda,"Damurhuda, Bangladesh",23.6067377,88.7758503,Bangladesh,Khulna Division,Chuadanga District
Jibannagar,"Jibannagar, Bangladesh",23.4226037,88.8238996,Bangladesh,Khulna Division,Chuadanga District
Abhaynagar,"Abhaynagar Upazila, Bangladesh",23.01556659,89.3143239,Bangladesh,Khulna Division,Jessore District
Bagherpara,"Bagherpara, Bangladesh",23.2172608,89.3487791,Bangladesh,Khulna Division,Narail District
Chowgacha,"Chowgacha, Bangladesh",23.2632036,89.020323,Bangladesh,Khulna Division,Jessore District
Jashore-S,"Jessore District, Bangladesh",23.1634014,89.2181664,Bangladesh,Khulna Division,Jessore District
Jhikargacha,"Jhikargacha, Bangladesh",23.0999066,89.0991083,Bangladesh,Khulna Division,Jessore District
Keshabpur,"Keshabpur, Bangladesh",22.905463,89.2193801,Bangladesh,Khulna Division,Jessore District
Monirampur,"Manirampur Upazila, Bangladesh",23.0242402,89.2326924,Bangladesh,Khulna Division,Jessore District
Sharsha,"Sharsha Upazila, Bangladesh",23.05287344,88.92659303,Bangladesh,Khulna Division,Jessore District
Harinakunda,"Horinakunda, Bangladesh",23.6487722,89.0430191,Bangladesh,Khulna Division,Jhenaidah District
Jhenaidah-S,"Jhenaidah, Bangladesh",23.5528198,89.1753614,Bangladesh,Khulna Division,Jhenaidah District
Kotchandpur,"Kotchandpur, Bangladesh",23.4075287,89.0119581,Bangladesh,Khulna Division,Jhenaidah District
Moheshpur,"Maheshpur Upazila, Bangladesh",23.3598198,88.9171619,Bangladesh,Khulna Division,Jhenaidah District
